item_name,exercise_id
Chair-Squat-to-Toe-Stand-(female),chair-squat
Forward-and-Top-Wall-Push-(female),wall-push-up
Tabletop-Plank-Raise-and-Reach-(female),desk-plank
Bird-Dog-(female),bird-dog
Push-up-(on-knees)-(female),modified-push-up
Circles-Arm-(female),arm-circles
Step-up-(female),step-up-stair
Neck-Circle-Stretch-(female),neck-rolls
Seated-Twist-(straight-arm),seated-spinal-twist
Standing-Hamstring-Stretch-(female),hamstring-stretch
Standing-Calf-Stretch-against-Wall-(female),calf-stretch
Quadriceps-Stretch-(female),quad-stretch
Sitting-Legs-Extended-to-Butterfly-Stretch-(female,hip-opener
Side-Stretch-Crunch-(female),side-stretch
Marching-On-Spot-(female),marching-in-place
Side-Step-Crossover-Arms-(female),step-touch
Jack-Step-(female),jumping-jacks-modified
Side-Step-Hands-On-Waist-(female),side-steps-cardio
Pelvic-Tilt-(female),pelvic-tilts
Front-Plank-(female),plank
Side-Plank-(version-2),side-plank
Mountain-Climber-(female),mountain-climbers
Bicycle-Crunch-(female),bicycle-crunches
Push-up-(female),push-ups
Squat-(female),squats
Lunge-(female),lunges
Sit-(wall)-(female),wall-sit
Burpee-(female),burpees
Jumping-Jack-(female),jumping-jacks
High-Knee-Run-(female),high-knees
Standing-Butt-Kick-(female),butt-kicks
Full-Downward-Dog-Yoga-Pose-(female),downward-dog
Child-Pose-(female),child-pose
Cat-Cow-Stretch-(female),cat-cow
Single-Leg-Stand,single-leg-stand
Tree-Pose-Vrksasana-(female),tree-pose
Warrior-III-Pose-(female),warrior-3
Dead-Bug_Waist,dead-bug
Glute-Bridge-Two-Legs-on-Floor-(female),glute-bridges
Triceps-Dip-(female),tricep-dips
Standing-Calf-Raise-(female),calf-raises
Russian-Twist-(female),russian-twists
Bear-Crawl,bear-crawl
Standing-Forward-Bend-Uttanasana-(female),forward-fold
Single-Leg-Squat-(pistol)-(female),single-leg-squat
Lying-Back-Extension-(female),lying-back-extension
33461201-Front-Plank-Toe-Tap,front-plank-toe-tap
Crab-Twist-Toe-Touch-(female),crab-twist-toe-touch
Standing-Side-Leg-Raise-(female),standing-side-leg-raise
Standing-Side-Crunch-(female),standing-side-crunch
Bodyweight-Side-Squat-Step-(female),bodyweight-side-squat-step
Hip-Roll-Plank-(female),hip-roll-plank
Bodyweight-Pulse-Squat-(female),bodyweight-pulse-squat
Side-Plank-Rotation-a-padded-stool-Supported,side-plank-rotation
Kneeling-Forward-Hip-Circles,kneeling-forward-hip-circles
Kneeling-Backward-Hip-Circles,kneeling-backward-hip-circles
Lying-Floor-Abduction-Adduction-(female),lying-floor-abduction
Balance-Board-(VERSION-2),balance-board
Hip-Swirls-(female),hip-swirls
Push-Up-Jack,push-up-jack
Hip-Crunch-(female),hip-crunch
Shin-Box-Switch,shin-box
Standing-Side-Crunch-Elbow-to-Knee-(female),standing-side-crunch-elbow-to-knee
Seated-Circle-Leg-Crunch,seated-circle-leg-crunch
Sitting-Lotus-Pose-Hip-Horizontal-Rotation,sitting-lotus-pose-hip-horizontal
Lying-Abduction-Leg-Raise-on-floor,lying-abduction-leg-raise-on-floor
Side-Bridge-with-Bent-Leg-(female,side-bridge-bent-leg
Leg-Pull-Side,leg-pull-side
Hip---Abduction---Articulations,hip-abduction
Power-Clean-Thruster,power-clean-thruster
106971201-Front-Plank-to-Toe-Tap,plank-cross-body-touch
Snatch-High-Pull,snatch-high
Press-Under,press-under
Lever-stepper,lever-stepper
Seated-Neck-Tap-(female),seated-neck-tap
Elbow---Flexion,elbow-flexion
Side-Kick-Burpee,side-kick-burpee
Butterfly-Pull-up,butterfly-pull-up
Front-Scoops-(female),front-scoops
Shoulder---Flexion,shoulder-flexion
Shoulder---Transverse-Flexion,shoulder-transverse-flexion
Forearm---Supination,forearm-supination
Brachialis-Pull-up,brachialis-pull-up
Brachialis-Narrow-Pull-up,brachialis-narrow-pull-up
Prayer-Push,prayer-push
Lying-Prone-W-to-Y,lying-prone-w-to-y
Palm-up---Palm-down-Rotation-(female),palm-up-palm-down-rotation
Air-Twisting-Crunch-(female),air-twisting-crunch
Standing-Swimmer-(female),standing-swimmer
Shoulders-Roll,shoulder-rolls
Behind-the-Back-Clap,chest-opener
Arms-Pump,seated-cardio-arm-pumps
Toe-Walk,heel-to-toe-walk
3-4-Sit-up-(female),3-4-sit-ups
Air-Twisting-Crunch-(female),air-twisting-crunch
Alternate-Lying-Floor-Leg-Raise,alternate-lying-floor-leg-raise
Assisted-Lying-Leg-Raise-With-Lateral-Throw-Down,assisted-lying-leg-raise-with-lateral-throw-down
Balance-Board,balance-board
Muscle-up-(on-vertical-bar),muscle-up-on-vertical-bar
Cluster,cluster
Reverse-Lunge-(leg-kick),reverse-lunge-leg-kick
Kneeling-Thoracic-Spine,kneeling-thoracic-spine
